strategy,trades,roi_total,hit_rate,turnover,sharpe_like,max_drawdown_abs,max_drawdown_pct
conservative,57,-0.06347860724852743,0.2807017543859649,0.5730229109096113,-0.6634088339182616,-146.48843808711638,-0.14259962803284584
balanced,57,-0.19408399820180025,0.2807017543859649,1.3212175715772227,-0.6634088339182616,-345.5227842366568,-0.32346957562565787
aggressive,75,-0.4064952307498618,0.29333333333333333,2.3341278693183622,-0.3787181400314402,-628.4456758919656,-0.5530368142644339
