date,match_id,home_team,away_team,selection,p,odds,stake,won,pnl,balance,ev
2025-04-19,477b37a758c8f577,Brentford,Brighton,H,0.4713734402920144,2.7,80.20832023189381,1,136.35414439421947,1136.3541443942195,0.272708288788439
2025-04-19,38510eb327d1fa80,Crystal Palace,Bournemouth,H,0.4703368861511067,2.59,77.9626617891577,0,-77.9626617891577,1058.3914826050618,0.21817253513136625
2025-04-20,0d4fe407cd3ea77c,Leicester,Liverpool,D,0.3376659042109851,7.25,105.83914826050619,0,-105.83914826050619,952.5523343445557,1.4480778055296417
2025-04-20,c374adbd6f143d9e,Fulham,Chelsea,H,0.4311121417651407,3.15,79.30623911949802,0,-79.30623911949802,873.2460952250576,0.3580032465601931
2025-04-20,e40574aad2d80f1b,Ipswich,Arsenal,D,0.30778992670520106,5.22,62.76853795751696,0,-62.76853795751696,810.4775572675406,0.6066634174011496
2025-04-20,a286403460281d5f,Man United,Wolves,H,0.528358776332933,2.6,81.04775572675408,0,-81.04775572675408,729.4298015407866,0.373732818465626
2025-04-21,9c97549a0596595a,Tottenham,Nott'm Forest,H,0.4703368861511067,2.4,33.555992183301875,0,-33.555992183301875,695.8738093574847,0.12880852676265597
2025-04-22,0f2c7d162d560318,Man City,Aston Villa,H,0.567433143936885,1.91,32.03975263087287,1,29.156174894094306,725.029984251579,0.08379730491945037
2025-04-22,0f2c7d162d560318,Man City,Aston Villa,D,0.2497116318108232,4.06,1.6383338062294412,0,-1.6383338062294412,723.3916504453496,0.013829225151942182
2025-04-23,548d4392941a8acd,Arsenal,Crystal Palace,D,0.23771543515178123,4.85,14.36635717700527,1,55.310475131470284,778.7021255768199,0.15291986048613881
2025-04-26,699963f98772ed5b,Wolves,Leicester,H,0.6665894968076245,1.55,23.51235854787643,1,12.931797201332039,791.6339227781519,0.03321372005181794
2025-04-26,95825e3080080663,Southampton,Fulham,H,0.2089471824315489,5.08,5.961671549636318,0,-5.961671549636318,785.6722512285156,0.06145168675226831
2025-04-26,95825e3080080663,Southampton,Fulham,D,0.2809971289469691,4.11,19.565790592167172,0,-19.565790592167172,766.1064606363484,0.15489819997204302
2025-04-26,f9ddb60894c80a22,Brighton,West Ham,H,0.5760732788999686,1.79,15.114198818617126,1,11.94021706670753,778.0466777030559,0.031171169230943874
2025-04-26,f9ddb60894c80a22,Brighton,West Ham,D,0.2641761294496224,4.0,7.353126947311428,0,-7.353126947311428,770.6935507557445,0.05670451779848951
2025-04-26,a8143ebb42e12955,Chelsea,Everton,D,0.2205101441956947,4.95,8.928847086464474,0,-8.928847086464474,761.76470366928,0.09152521376868883
2025-04-26,11d25cc402b81ef5,Newcastle,Ipswich,D,0.28975509157274154,8.5,74.29330058757358,0,-74.29330058757358,687.4714030817065,1.462918278368303
2025-04-27,f5bec9cbad7523ec,Liverpool,Tottenham,D,0.26044097295537055,7.95,52.945473355695015,0,-52.945473355695015,634.5259297260116,1.0705057349951959
2025-04-27,f1fc978ed7e95856,Bournemouth,Man United,H,0.6406237170567246,1.98,63.45259297260116,0,-63.45259297260116,571.0733367534104,0.2684349597723147
2025-05-01,cb3ec10fd3b9d282,Nott'm Forest,Brentford,H,0.5059377866689246,2.35,39.96536159253174,0,-39.96536159253174,531.1079751608787,0.18895379867197293
2025-05-02,6e73410bce61c3cb,Man City,Wolves,D,0.23771543515178123,5.6,19.120258699526037,0,-19.120258699526037,511.98771646135265,0.33120643684997475
2025-05-03,be43550deb4b0d27,Arsenal,Bournemouth,D,0.258913970654852,4.05,4.079247959098469,0,-4.079247959098469,507.90846850225415,0.04860158115215052
2025-05-03,be43550deb4b0d27,Arsenal,Bournemouth,A,0.23346019330029458,5.25,13.484432939242142,1,57.3088399917791,565.2173084940332,0.22566601482654647
2025-05-03,4cdd4d14624e7c9a,Leicester,Southampton,H,0.47977838663110317,2.45,34.19702068993419,1,49.58568000040459,614.8029884944378,0.1754570472462028
2025-05-03,3d227835eb4c4a47,Aston Villa,Fulham,H,0.5756328632899247,1.88,28.710525115297244,1,25.265262101461573,640.0682505958994,0.0821897829850583
2025-05-03,ab92fcd878f74e9b,Everton,Ipswich,H,0.7012065511881926,1.57,56.648446253504396,0,-56.648446253504396,583.419804342395,0.10089428536546247
2025-05-04,602c5e9805bcba81,Brentford,Man United,H,0.616697533440836,1.65,7.876584807779769,1,5.119780125056849,588.5395844674518,0.017550930177379354
2025-05-04,602c5e9805bcba81,Brentford,Man United,D,0.2314530569085696,4.34,0.3970234278124585,0,-0.3970234278124585,588.1425610396394,0.004506266983192009
